Judas_Jud_65_1_1_Judas, ein Knecht Jesu Christi, ein Bruder aber des Jakobus, den Berufenen, die da geheiligt sind in Gott, dem Vater, und bewahrt in Jesu Christo:
Judas_Jud_65_1_2_Gott gebe euch viel Barmherzigkeit und Frieden und Liebe!
Judas_Jud_65_1_3_Ihr Lieben, nachdem ich vorhatte, euch zu schreiben von unser aller Heil, hielt ich's für nötig, euch mit Schriften zu ermahnen, daß ihr für den Glauben kämpfet, der einmal den Heiligen übergeben ist.
Judas_Jud_65_1_4_Denn es sind etliche Menschen nebeneingeschlichen, von denen vorzeiten geschrieben ist solches Urteil: Die sind Gottlose, ziehen die Gnade unsers Gottes auf Mutwillen und verleugnen Gott und unsern HERRN Jesus Christus, den einigen Herrscher.
Judas_Jud_65_1_5_Ich will euch aber erinnern, die ihr dies ja schon wisset, daß der HERR, da er dem Volk aus Ägypten half, das andere Mal umbrachte, die da nicht glaubten.
Judas_Jud_65_1_6_Auch die Engel, die ihr Fürstentum nicht bewahrten, sondern verließen ihre Behausung, hat er behalten zum Gericht des großen Tages mit ewigen Banden in der Finsternis.
Judas_Jud_65_1_7_Wie auch Sodom und Gomorra und die umliegenden Städte, die gleicherweise wie diese Unzucht getrieben haben und nach einem andern Fleisch gegangen sind, zum Beispiel gesetzt sind und leiden des ewigen Feuers Pein.
Judas_Jud_65_1_8_Desgleichen sind auch diese Träumer, die das Fleisch beflecken, die Herrschaft aber verachten und die Majestäten lästern.
Judas_Jud_65_1_9_Michael aber, der Erzengel, da er mit dem Teufel stritt und mit ihm redete über den Leichnam Mose's, wagte er das Urteil der Lästerung nicht zu fällen, sondern sprach: Der HERR strafe dich!
Judas_Jud_65_1_10_Diese aber lästern alles, davon sie nichts wissen; was sie aber natürlich erkennen wie die unvernünftigen Tiere, darin verderben sie.
Judas_Jud_65_1_11_Weh ihnen! denn sie gehen den Weg Kains und fallen in den Irrtum des Bileam um Gewinnes willen und kommen um in dem Aufruhr Korahs.
Judas_Jud_65_1_12_Diese Unfläter prassen bei euren Liebesmahlen ohne Scheu, weiden sich selbst; sie sind Wolken ohne Wasser, von dem Winde umgetrieben, kahle, unfruchtbare Bäume, zweimal erstorben und ausgewurzelt,
Judas_Jud_65_1_13_wilde Wellen des Meeres, die ihre eigene Schande ausschäumen, irre Sterne, welchen behalten ist das Dunkel der Finsternis in Ewigkeit.
Judas_Jud_65_1_14_Es hat aber auch von solchen geweissagt Henoch, der siebente von Adam, und gesprochen: \"Siehe, der HERR kommt mit vielen tausend Heiligen,
Judas_Jud_65_1_15_Gericht zu halten über alle und zu strafen alle Gottlosen um alle Werke ihres gottlosen Wandels, womit sie gottlos gewesen sind, und um all das Harte, das die gottlosen Sünder wider ihn geredet haben.\"
Judas_Jud_65_1_16_Diese murren und klagen immerdar und wandeln dabei nach ihren Lüsten; und ihr Mund redet stolze Worte, und achten das Ansehen der Person um Nutzens willen.
Judas_Jud_65_1_17_Ihr aber, meine Lieben, erinnert euch der Worte, die zuvor gesagt sind von den Aposteln unsers HERRN Jesu Christi,
Judas_Jud_65_1_18_da sie euch sagten, daß zu der letzten Zeit werden Spötter sein, die nach ihren eigenen Lüsten des gottlosen Wesens wandeln.
Judas_Jud_65_1_19_Diese sind es, die da Trennungen machen, Fleischliche, die da keinen Geist haben.
Judas_Jud_65_1_20_Ihr aber, meine Lieben, erbauet euch auf euren allerheiligsten Glauben durch den heiligen Geist und betet,
Judas_Jud_65_1_21_und erhaltet euch in der Liebe Gottes, und wartet auf die Barmherzigkeit unsers HERRN Jesu Christi zum ewigen Leben.
Judas_Jud_65_1_22_Und haltet diesen Unterschied, daß ihr euch etlicher erbarmet,
Judas_Jud_65_1_23_etliche aber mit Furcht selig machet und rücket sie aus dem Feuer; und hasset auch den Rock, der vom Fleische befleckt ist.
Judas_Jud_65_1_24_Dem aber, der euch kann behüten ohne Fehl und stellen vor das Angesicht seiner Herrlichkeit unsträflich mit Freuden,
Judas_Jud_65_1_25_dem Gott, der allein weise ist, unserm Heiland, sei Ehre und Majestät und Gewalt und Macht nun und zu aller Ewigkeit! Amen.
